id,user_shop_name,category_name,product_name,product_image,product_details,rating,rating_count,product_stock_status,product_information,product_type,vat,product_unit,product_minimum_order,product_price,kg_price,avg_weight
304,Chouffie,"Groente en fruit","Kanzi appel",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Chouffie-4.jpg,"4 stuks",75%,4,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",ambient,9,Stuks,4,2.60,0.65,0.00
305,Chouffie,"Groente en fruit","Red delicious appel",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Chouffie-6.jpg,"5 stuks",100%,1,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",ambient,9,Stuks,5,3.00,0.60,0.00
306,Chouffie,"Groente en fruit","Jonagold appel",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Chouffie-9.jpg,"5 stuks",90%,10,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",ambient,9,Stuks,5,2.50,0.50,0.00
307,Chouffie,"Groente en fruit",Grapefruit,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Chouffie-13.jpg,"1 stuk",83%,6,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",ambient,9,Stuks,1,0.85,0.85,0.00
308,Chouffie,"Groente en fruit","Maribel appel",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Chouffie-24.jpg,"Circa 300 gram",100%,0,Out_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",ambient,9,Gewicht,300,0.45,1.50,0.00
309,Chouffie,"Groente en fruit",Bieten,https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Chouffie-93.jpg,"4 stuks",100%,2,In_stock,"Gewicht kan afwijken en worden gecorrigeerd met Local Heroes punten. Meer weten over Local Heroes punten? Zie FAQ onder 'meer'.",ambient,9,Stuks,4,1.60,0.40,0.00
438,"Kema Vlees",Slagerij,"Runder braadworst",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Kema-51.jpg,"2 stuks",100%,0,In_stock,,cold,9,Stuks,1,1.80,1.80,0.00
439,"Kema Vlees",Slagerij,"Runder ribeye",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Kema-52.jpg,"Circa 250 gram",100%,0,In_stock," ",cold,9,Gewicht,250,5.74,22.96,0.00
440,"Kema Vlees",Slagerij,"Runder entrecote",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Kema-53.jpg,"Circa 200 gram",100%,0,In_stock,,cold,9,Gewicht,200,3.99,19.95,0.00
441,"Kema Vlees",Slagerij,"Kippevleugels plat",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Kema-54.jpg,"1000 gram",100%,1,In_stock,,cold,9,Gewicht,1000,4.99,4.99,0.00
442,"Kema Vlees",Slagerij,"Kip borrelstukjes",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Kema-55.jpg,"1000 gram",100%,0,In_stock,"  ",cold,9,Gewicht,1000,4.49,4.49,0.00
443,"Kema Vlees",Slagerij,"Kippevleugels gekruid",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Kema-56.jpg,"1000 gram",100%,1,In_stock,,cold,9,Gewicht,1000,4.99,4.99,0.00
444,"Kema Vlees",Slagerij,"Kip bouten",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Kema-57.jpg,"Circa 600 gram",100%,4,In_stock,,cold,9,Gewicht,600,1.89,3.15,0.00
445,"Kema Vlees",Slagerij,"Filet americain",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Kema-28.jpg,"Circa 150 gram",100%,3,Out_stock,,cold,9,Gewicht,150,1.50,10.00,0.00
573,"Chocolatier Candela",Chocolatier,"Handgemaakte gemengd met alcohol",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Candela-2.jpg,"250 gram",100%,0,In_stock,"Handgemaakte bonbons van witte chocolade met alcohol",cold,9,Stuks,1,8.25,8.25,0.00
574,"Chocolatier Candela",Chocolatier,"Handgemaakte melk en puur m. alcohol",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Candela-2.jpg,"250 gram",100%,0,In_stock,"Handgemaakte bonbons van melk en pure chocolade met alcohol",cold,9,Stuks,1,8.25,8.25,0.00
582,"Chocolatier Candela",Chocolatier,"Handgemaakte melk en wit z. alcohol",https://s3.eu-central-1.amazonaws.com/images.localheroesonline.com/legacy/products/Candela-2.jpg,"250 gram",100%,0,In_stock,"Handgemaakte bonbons van melk en witte chocolade zonder alcohol",cold,9,Stuks,1,8.25,8.25,0.00
